abc command read data/library/mcnc.genlib
Entered genlib library with 23 gates from file "data/library/mcnc.genlib".
abc command read_blif data/su/rca32.blif
abc command print_stats
[1;37mrca32                         :[0m i/o =   64/   33  lat =    0  nd =   298  edge =    585  area =666.00  delay =16.10  lev = 12
--------------- round 1 ---------------
seed = 2531465778
maxLevel = 2
0,-nan,-nan
0,-nan,-nan
1,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
3,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
5,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
6,1,0
7,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,1,0
9,1,0
10,1,0
10,1,0
10,1,0
10,1,0
10,1,0
11,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
12,1,0
13,1,0
14,1,0
14,1,0
14,1,0
14,1,0
14,1,0
17,1,0
22,1,0
33,1,0
34,1,0
34,1,0
34,1,0
34,1,0
35,1,0
36,1,0
36,1,0
36,1,0
36,1,0
36,1,0
36,1,0
36,1,0
37,1,0
38,1,0
38,1,0
38,1,0
38,1,0
38,1,0
38,1,0
39,1,0
40,1,0
40,1,0
40,1,0
40,1,0
40,1,0
40,1,0
40,1,0
40,1,0
40,1,0
41,1,0
42,1,0
42,1,0
42,1,0
42,1,0
42,1,0
43,1,0
44,1,0
44,1,0
44,1,0
44,1,0
47,1,0
47,1,0
47,1,0
57,1,0
58,1,0
58,1,0
58,1,0
58,1,0
58,1,0
58,1,0
59,1,0
60,1,0
60,1,0
60,1,0
60,1,0
60,1,0
60,1,0
60,1,0
61,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
62,1,0
63,1,0
64,1,0
64,1,0
64,1,0
64,1,0
64,1,0
93,0.688172,0.0212572
99,0.707071,0.0199689
105,0.72381,0.0188278
108,0.731481,0.0183048
109,0.733945,0.0181369
120,0.758333,0.0164743
120,0.758333,0.0164743
120,0.758333,0.0164743
120,0.758333,0.0164743
121,0.760331,0.0163382
121,0.760331,0.0163382
121,0.760331,0.0163382
121,0.760331,0.0163382
121,0.760331,0.0163382
121,0.760331,0.0163382
121,0.760331,0.0163382
121,0.760331,0.0163382
121,0.760331,0.0163382
121,0.760331,0.0163382
121,0.760331,0.0163382
121,0.760331,0.0163382
121,0.760331,0.0163382
122,0.762295,0.0162043
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
123,0.764228,0.0160725
124,0.758065,0.0160635
128,0.765625,0.0155616
131,0.770992,0.0152052
133,0.774436,0.0149765
133,0.774436,0.0149765
138,0.782609,0.0144339
139,0.784173,0.0143301
139,0.784173,0.0143301
139,0.784173,0.0143301
139,0.784173,0.0143301
139,0.784173,0.0143301
139,0.784173,0.0143301
140,0.785714,0.0142277
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
141,0.787234,0.0141268
145,0.765517,0.0139506
151,0.774834,0.0133963
155,0.780645,0.0130506
161,0.78882,0.0125642
162,0.790123,0.0124867
169,0.798817,0.0119695
169,0.798817,0.0119695
169,0.798817,0.0119695
169,0.798817,0.0119695
170,0.8,0.0118991
172,0.802326,0.0117607
172,0.802326,0.0117607
172,0.802326,0.0117607
172,0.802326,0.0117607
172,0.802326,0.0117607
172,0.802326,0.0117607
172,0.802326,0.0117607
172,0.802326,0.0117607
173,0.803468,0.0116927
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
174,0.804598,0.0116255
201,0.696517,0.0219856
208,0.706731,0.0212457
